idx,hypothesis,declarative,label,ref_id,url,ref_txt,doi,title,abstract_collected,file
71,"DOES SOCIAL MEDIA AMPLIFY POSTS THAT ARE MORE EMOTIONAL, INFLAMMATORY, OR FALSE?","SOCIAL MEDIA AMPLIFIES POSTS THAT ARE MORE EMOTIONAL, INFLAMMATORY, OR FALSE",ENTAIL,rId140,https://doi.org/10.1007/s11229-020-02724-x,"Alfano, Fard, Carter, Clutton, & Klein (2020).",https://doi.org/10.1007/s11229-020-02724-x,,"YouTube has been implicated in the transformation of users into extremists and conspiracy theorists. The alleged mechanism for this radicalizing process is YouTubes recommender system, which is optimized to amplify and promote clips that users are likely to watch through to the end. YouTube optimizes for watch-through for economic reasons: people who watch a video through to the end are likely to then watch the next recommended video as well, which means that more advertisements can be served to them. This is a seemingly innocuous design choice, but it has a troubling side-effect. Critics of YouTube have alleged that the recommender system tends to recommend extremist content and conspiracy theories, as such videos are especially likely to capture and keep users attention. To date, the problem of radicalization via the YouTube recommender system has been a matter of speculation. The current study represents the first systematic, pre-registered attempt to establish whether and to what extent the recommender system tends to promote such content. We begin by contextualizing our study in the framework of technological seduction. Next, we explain our methodology. After that, we present our results, which are consistent with the radicalization hypothesis. Finally, we discuss our findings, as well as directions for future research and recommendations for users, industry, and policy-makers.",Social Media and Political Dysfunction
156,DOES SOCIAL MEDIA STRENGTHEN POPULIST MOVEMENTS?,SOCIAL MEDIA STRENGTHENS POPULIST MOVEMENTS,ENTAIL,rId271,https://doi.org/10.1080/21670811.2021.1899011,"Wilkerson, Riedl, & Whipple (2021).",https://doi.org/10.1080/21670811.2021.1899011,,"This research examines the key characteristics of hyperpartisan news pages on Facebook and how audiences interact with politically polarized content through the visual-emotional shorthand of Facebook Reactions. Through a quantitative content analysis of 4,236 posts shared by the most popular hyperpartisan U.S. Facebook pages before, during, and after the 2016 U.S. Presidential Election, the researchers introduce the concept of affective affordances to analyse emotional reactions elicited through Facebook Reactions in response to right- and left-leaning Facebook news posts, as well as the political topics, rhetorical devices, stylistic devices and emotionally charged content that are most likely to elicit emotional responses and inspire shares and comments from audiences in reaction to liberal and conservative content. The results are interpreted in light of the theory of affective intelligence.",Social Media and Political Dysfunction
262,IS SOCIAL MEDIA LINKED TO IMPAIRED SLEEP,SOCIAL MEDIA IS LINKED TO IMPAIRED SLEEP,ENTAIL,rId542,https://doi.org/10.1038/s41598-022-10116-z,"Dissing, Andersen, Jensen, Lund, & Rod (2022).",https://doi.org/10.1038/s41598-022-10116-z,,"AbstractFrequent nighttime smartphone use can disturb healthy sleep patterns and may adversely affect mental health and wellbeing. This study aims at investigating whether nighttime smartphone use increases the risk of poor mental health, i.e. loneliness, depressive symptoms, perceived stress, and low life satisfaction among young adults. High-dimensional tracking data from the Copenhagen Network Study was used to objectively measure nighttime smartphone activity. We recorded more than 250,000 smartphone activities during self-reported sleep periods among 815 young adults (university students, mean age: 21.6years, males: 77%) over 16 weekdays period. Mental health was measured at baseline using validated measures, and again at follow-up four months later. Associations between nighttime smartphone use and mental health were evaluated at baseline and at follow-up using multiple linear regression adjusting for potential confounding. Nighttime smartphone use was associated with a slightly higher level of perceived stress and depressive symptoms at baseline. For example, participants having 13 nights with smartphone use (out of 16 observed nights) had on average a 0.25 higher score (95%CI:0.08;0.41) on the Perceived stress scale ranging from 0 to 10. These differences were small and could not be replicated at follow-up. Contrary to the prevailing hypothesis, nighttime smartphone use is not strongly related to poor mental health, potentially because smartphone use is also a social phenomenon with associated benefits for mental health.",Social Media and Mental Health
75,"DOES SOCIAL MEDIA AMPLIFY POSTS THAT ARE MORE EMOTIONAL, INFLAMMATORY, OR FALSE?","SOCIAL MEDIA AMPLIFIES POSTS THAT ARE MORE EMOTIONAL, INFLAMMATORY, OR FALSE",ENTAIL,rId149,https://doi.org/10.1073/pnas.1803470115,"Stella, Ferrara, & Domenico (2018).",https://doi.org/10.1073/pnas.1803470115,,"Significance Social media can deeply influence reality perception, affecting millions of peoples voting behavior. Hence, maneuvering opinion dynamics by disseminating forged content over online ecosystems is an effective pathway for social hacking. We propose a framework for discovering such a potentially dangerous behavior promoted by automatic users, also called bots, in online social networks. We provide evidence that social bots target mainly human influencers but generate semantic content depending on the polarized stance of their targets. During the 2017 Catalan referendum, used as a case study, social bots generated and promoted violent content aimed at Independentists, ultimately exacerbating social conflict online. Our results open challenges for detecting and controlling the influence of such content on society.",Social Media and Political Dysfunction
90,"DOES SOCIAL MEDIA AMPLIFY POSTS THAT ARE MORE EMOTIONAL, INFLAMMATORY, OR FALSE?","SOCIAL MEDIA AMPLIFIES POSTS THAT ARE MORE EMOTIONAL, INFLAMMATORY, OR FALSE",CONTRADICT,rId173,https://doi.org/10.1038/s41562-021-01133-5,"Burton, Cruz, & Hahn (2021).",https://doi.org/10.1038/s41562-021-01133-5,,"The ubiquity of social media use and the digital data traces it produces has triggered a potential methodological shift in the psychological sciences away from traditional, laboratory-based experimentation. The hope is that, by using computational social science methods to analyse large-scale observational data from social media, human behaviour can be studied with greater statistical power and ecological validity. However, current standards of null hypothesis significance testing and correlational statistics seem ill-suited to markedly noisy, high-dimensional social media datasets. We explore this point by probing the moral contagion phenomenon, whereby the use of moral-emotional language increases the probability of message spread. Through out-of-sample prediction, model comparisons and specification curve analyses, we find that the moral contagion model performs no better than an implausible XYZ contagion model. This highlights the risks of using purely correlational evidence from large observational datasets and sounds a cautionary note for psychology's merge with big data.",Social Media and Political Dysfunction
7,DOES SOCIAL MEDIA USE MAKE PEOPLE MORE ANGRY OR AFFECTIVELY POLARIZED? ,SOCIAL MEDIA USE MAKES PEOPLE MORE ANGRY OR AFFECTIVELY POLARIZED,ENTAIL,rId46,https://doi.org/10.1126/sciadv.abe5641,"Brady, McLoughlin, Doan, & Crockett (2021).",https://doi.org/10.1126/sciadv.abe5641,,"Moral outrage shapes fundamental aspects of social life and is now widespread in online social networks. Here, we show how social learning processes amplify online moral outrage expressions over time. In two preregistered observational studies on Twitter (7331 users and 12.7 million total tweets) and two preregistered behavioral experiments (N = 240), we find that positive social feedback for outrage expressions increases the likelihood of future outrage expressions, consistent with principles of reinforcement learning. In addition, users conform their outrage expressions to the expressive norms of their social networks, suggesting norm learning also guides online outrage expressions. Norm learning overshadows reinforcement learning when normative information is readily observable: in ideologically extreme networks, where outrage expression is more common, users are less sensitive to social feedback when deciding whether to express outrage. Our findings highlight how platform design interacts with human learning mechanisms to affect moral discourse in digital public spaces.",Social Media and Political Dysfunction
64,DOES PORONOGRAPHY HAS A NEGATIVE EFFECT ON MENTAL AND/OR SEXUAL HEALTH,PORONOGRAPHY HAS A NEGATIVE EFFECT ON MENTAL AND/OR SEXUAL HEALTH,ENTAIL,rId125,https://doi.org/10.1080/00224499.2016.1143441,Peter & Valkenburg (2016).,https://doi.org/10.1080/00224499.2016.1143441,Adolescents and Pornography: A Review of 20 Years of Research,"The goal of this review was to systematize empirical research that was published in peer-reviewed English-language journals between 1995 and 2015 on the prevalence, predictors, and implications of adolescents use of pornography. This research showed that adolescents use pornography, but prevalence rates varied greatly. Adolescents who used pornography more frequently were male, at a more advanced pubertal stage, sensation seekers, and had weak or troubled family relations. Pornography use was associated with more permissive sexual attitudes and tended to be linked with stronger gender-stereotypical sexual beliefs. It also seemed to be related to the occurrence of sexual intercourse, greater experience with casual sex behavior, and more sexual aggression, both in terms of perpetration and victimization. The findings of this review need to be seen against the background of various methodological and theoretical shortcomings, as well as several biases in the literature, which currently precludes internally valid causal conclusions about effects of pornography on adolescents.",Porn Use and Adolescent Health A Collaborative Review
133,DOES SOCIAL MEDIA USE AT TIME T1 EFFECT MENTAL HEALTH OUTCOMES AT TIME T2?,SOCIAL MEDIA USE AT TIME T1 EFFECTS MENTAL HEALTH OUTCOMES AT TIME T2,ENTAIL,rId297,https://doi.org/10.1177/0894439317721981,"Wang, Gaskin, Rost, & Gentile (2018).",https://doi.org/10.1177/0894439317721981,,"Prior studies have found an inconclusive relationship between social networking site (SNS) usage and users subjective well-being. Passive SNS usage may be detrimental to subjective well-being, because it cannot provide social support and may evoke envy and jealousy. Conversely, it is also possible that lower subjective well-being may predict higher passive SNS usage, which can be used as a means to relieve stress. To examine this reciprocal process, a two-wave study among a sample of Chinese college students was conducted ( N = 350 at Time 1, 265 at Time 2). Data were analyzed with structural modeling. Cross-lagged analysis indicated that passive SNS usage at Time 1 predicted a decrease in subjective well-being at Time 2. Lower subjective well-being at Time 1 also predicted an increase in passive SNS usage at Time 2. These findings deepen our understanding of the complicated association between SNS usage and well-being and has implications for how to help individuals use SNS healthily.",Social Media and Mental Health
31,IS THERE AN ASSOCIATION BETWEEN SOCIAL MEDIA USE AND BAD MENTAL HEALTH OUTCOMES?,THERE IS AN ASSOCIATION BETWEEN SOCIAL MEDIA USE AND BAD MENTAL HEALTH OUTCOMES,ENTAIL,rId143,https://link.springer.com/article/10.1007%2Fs10802-021-00832-x,"McAlister, Hisler, Blake, Twenge, Farley, & Hamilton (2021)",https://doi.org/10.1007/s10802-021-00832-x,,"Screen media use is associated with mental health problems among adolescents. However, few studies have examined screen media use using contemporaneous time diaries (rather than retrospective reports), compared associations across specific screen media activities or by gender, or examined associations with self-harm behaviors. Participants were 13- to 15-year-old adolescents completing time diaries (n = 4,252) for one weekday and one weekend day in the 2015 administration of the Millennium Cohort Study, a nationally representative birth cohort study of UK adolescents. Participants also completed a measure of depressive symptoms and reported whether they had engaged in self-harm in the last year. Girls who spent 2 + hrs/day, compared to < 2 h/day, on digital media were more likely to self-harm (for social media use, adjusted relative risk [ARR] for self-harm = 1.46, 95% CI = 1.17, 1.82; for internet use, ARR = 1.80 [1.20, 2.70]). Girls spending more time on digital media were also more likely to be depressed (for social media, ARR = 1.29 [1.03, 1.63]; for internet use, ARR = 1.75 [1.19, 2.59]). Associations with gaming, texting/e-mailing, and TV/video watching among girls were mostly not significant. Associations for boys were mostly not significant. Girls who use digital media (especially social media and the internet) more hrs/day are more likely to have clinically significant levels of depressive symptoms and prior history of self-harm, though gaming, texting/e-mailing, and TV/video watching showed few associations. Screen media use was mostly not significantly associated with self-harm or depression among boys.",Social Media and Mental Health
254,IS SOCIAL MEDIA LINKED TO IMPAIRED SLEEP,SOCIAL MEDIA IS LINKED TO IMPAIRED SLEEP,ENTAIL,rId531,https://doi.org/10.1080/1369118X.2016.1266374,"Garett, Liu, & Young (2018).",https://doi.org/10.1080/1369118X.2016.1266374,,"ABSTRACT Insufficient sleep is a growing health problem among university students, especially for freshmen during their first quarter/semester of college. Little research has studied how social media technologies impact sleep quality among college students. This study aims to determine the relationship between social media use and sleep quality among freshman undergraduates during their first quarter in college. Specifically, we explored whether variations in Twitter use across the time of day and day of the week would be associated with self-reported sleep quality. We conducted a study of freshman Twitter-using students (N=197) over their first quarter of college, between October and December of 2015. We collected students tweets, labeled the content of the tweets according to different emotional states, and gave theme weekly surveys on sleep quality. Tweeting more frequently on weekday late nights was associated with lower sleep quality (=0.937, SE=0.352); tweeting more frequently on weekday evenings was associated with better quality sleep (=0.189, SE=0.097). Tweets during the weekday that were labeled related to the emotion of fear were associated with lower sleep quality (=0.302, SE=0.131). Results suggest that social media use is associated with sleep quality among students. Results provided can be used to inform future interventions to improve sleep quality among college students.",Social Media and Mental Health
20,DO MASS SHOOTING OR WORSENING CLIMATE HAVE A NEGATIVE EFFECT ON ADOLESCENT MENTAL HEALTH,MASS SHOOTING OR WORSENING CLIMATE HAVE A NEGATIVE EFFECT ON ADOLESCENT MENTAL HEALTH,ENTAIL,rId93,https://doi.org/10.1016/S2542-5196(21)00278-3,Hickman & Susteren (2021).,https://doi.org/10.1016/S2542-5196(21)00278-3,Climate anxiety in children and young people and their beliefs about government responses to climate change: a global survey,"Background Climate change has important implications for the health and futures of children and young people, yet they have little power to limit its harm, making them vulnerable to climate anxiety. This is the first large-scale investigation of climate anxiety in children and young people globally and its relationship with perceived government response. Methods We surveyed 10 000 children and young people (aged 16 to 25 years) in ten countries (Australia, Brazil, Finland, France, India, Nigeria, Philippines, Portugal, the UK, and the USA; 1000 participants per country). Invitations to complete the survey were sent via the platform Kantar between May 18 and June 7, 2021. Data were collected on participants thoughts and feelings about climate change, and government responses to climate change. Descriptive statistics were calculated for each aspect of climate anxiety, and Pearson's correlation analysis was done to evaluate whether climate-related distress, functioning, and negative beliefs about climate change were linked to thoughts and feelings about government response. Findings Respondents across all countries were worried about climate change (59% were very or extremely worried and 84% were at least moderately worried). More than 50% reported each of the following emotions: sad, anxious, angry, powerless, helpless, and guilty. More than 45% of respondents said their feelings about climate change negatively affected their daily life and functioning, and many reported a high number of negative thoughts about climate change (eg, 75% said that they think the future is frightening and 83% said that they think people have failed to take care of the planet). Respondents rated governmental responses to climate change negatively and reported greater feelings of betrayal than of reassurance. Climate anxiety and distress were correlated with perceived inadequate government response and associated feelings of betrayal. Interpretation Climate anxiety and dissatisfaction with government responses are widespread in children and young people in countries across the world and impact their daily functioning. A perceived failure by governments to respond to the climate crisis is associated with increased distress. There is an urgent need for further research into the emotional impact of climate change on children and young people and for governments to validate their distress by taking urgent action on climate change.",Alternative Hypotheses to the Adolescent Mental Illness Crisis A Collaborative Review
2,"IS THERE A RISE IN RECENT YEARS IN TEEN DEPRESSION, ANXIETY, AND SUICIDAL IDEATION?","THERE IS A RISE IN RECENT YEARS IN TEEN DEPRESSION, ANXIETY, AND SUICIDAL IDEATION",ENTAIL,rId35,https://journals.sagepub.com/doi/abs/10.1177/2167702617723376?journalCode=cpxa,"Twenge, Joiner, Rogers, & ",https://doi.org/10.1177/2167702617723376,"Increases in Depressive Symptoms, Suicide-Related Outcomes, and Suicide Rates Among U.S. Adolescents After 2010 and Links to Increased New Media Screen Time","In two nationally representative surveys of U.S. adolescents in grades 8 through 12 ( N = 506,820) and national statistics on suicide deaths for those ages 13 to 18, adolescents depressive symptoms, suicide-related outcomes, and suicide rates increased between 2010 and 2015, especially among females. Adolescents who spent more time on new media (including social media and electronic devices such as smartphones) were more likely to report mental health issues, and adolescents who spent more time on nonscreen activities (in-person social interaction, sports/exercise, homework, print media, and attending religious services) were less likely. Since 2010, iGen adolescents have spent more time on new media screen activities and less time on nonscreen activities, which may account for the increases in depression and suicide. In contrast, cyclical economic factors such as unemployment and the Dow Jones Index were not linked to depressive symptoms or suicide rates when matched by year.",Adolescent mood disorders since 2010
